,Age,Male 0.05,Male 0.25,Male 0.50,Male 0.75,Male 0.95,Female 0.05,Female 0.25,Female 0.50,Female 0.75,Female 0.95
13,8.5,572.1333619249529,671.7155778788764,755.9383099489494,835.9069212838365,994.8788605260007,516.792303160002,619.1101220604851,720.3648687063438,808.0431010840794,951.2435084264247
14,9.0,594.8347857123783,701.0796008341176,785.336691019299,863.6027044946557,1034.6632189129948,542.8827298991847,649.2698317293062,757.0353006232788,849.5868218381642,1007.6876637911784
15,9.5,618.6472252904564,731.7819570386009,816.6490828688799,893.545750675522,1077.3022439009692,571.8037049731297,682.3367123031967,796.855116457873,895.4596612560658,1070.646327501308
16,10.0,644.0798112482626,764.0962253790937,850.5730622776744,927.0884334435639,1123.9810316300536,603.8563505451095,718.6200372826951,840.1593570524312,946.122163876489,1140.8125323595134
17,10.5,671.6416741748716,798.2959847423615,887.8062060256633,965.5831264159091,1175.884678240378,639.0639433680552,758.1596261984354,886.9303636560248,1001.5401482814731,1218.0134084344309
18,11.0,701.8419446593588,834.6548140151716,929.0460908928287,1010.3822032096864,1234.198279872072,676.3383785535298,799.9174827014261,935.7396791447933,1059.7005292263987,1298.6124748584425
19,11.5,735.1897532907993,873.4462920842906,974.9902936591519,1062.838037442023,1300.1069326652657,714.313705802755,842.5861564727716,984.8061468016439,1118.0954955099828,1378.107348029868
20,12.0,772.1942306582685,914.9439978364848,1026.3363911046144,1124.3030027300476,1374.7957327600884,751.6239748169525,884.8581971935741,1032.3486099094832,1174.2172359309425,1451.995644347026
21,12.5,812.9283363456242,959.1637254753273,1083.178174602291,1195.1829846259045,1458.4545445734473,786.9032352973434,925.4261545449373,1076.5859117512184,1225.5579392879931,1515.7749802082358
22,13.0,855.7203459158567,1005.0901304716161,1143.1942938976272,1272.0979164218008,1547.2923056293528,818.7855369451494,962.9825782079639,1115.736895609756,1269.6097943798522,1564.942972011816
23,13.5,898.4623639267395,1051.4500836129562,1203.4596133291623,1350.721243344961,1636.5227217285933,845.904929461592,996.2200178637579,1148.0204047680027,1303.864990005236,1594.9972361560863
24,14.0,939.0464949360451,1096.9704556869508,1261.048997235435,1426.7264106226085,1721.3594986719563,866.8954625478929,1023.8310231934225,1171.6552825088659,1325.8157149628607,1601.4353890393654
25,14.5,975.364843501547,1140.3781174812052,1313.0373099549847,1495.7868634819677,1797.0163422602295,880.9399566650187,1044.8945158546765,1186.0350591759523,1334.9767484652666,1584.6568404820432
26,15.0,1005.3095141810182,1180.3999397833236,1356.49941582635,1553.5760471502617,1858.7069582942008,889.4163153129173,1060.0349054117019,1195.2520133556702,1338.953231380284,1564.6681739927901
27,15.5,1027.4773263279474,1216.1691052789984,1389.4748410695488,1597.1384086486707,1903.2241233475895,894.0818279250634,1070.2991898803066,1203.6909437889535,1345.5831405803635,1561.3222762222736
28,16.0,1043.2839584786832,1248.444044246274,1413.8617594305133,1629.0024021741988,1933.676897085843,896.0162446300586,1076.8792331763386,1212.2079815920408,1355.545435301142,1574.2500727008648
29,16.5,1054.8498039652904,1278.389498861284,1432.5230065366554,1653.0674837178065,1954.7534099473385,896.1299307302868,1081.0031156906548,1220.777090974998,1367.7293203690535,1598.0269986788612
30,17.0,1064.295256119833,1307.1702113001609,1448.3214180153861,1673.233109270454,1971.141792370456,895.3332515281315,1083.8989178141137,1229.3722361478897,1381.0240006105312,1627.2284894065601
31,17.5,1073.3873093856985,1335.7568000430156,1463.6426902228816,1692.7488254912746,1986.7488197205103,894.3848447755789,1086.5900398724295,1237.971720619104,1394.5038133809367,1657.3340742592095
32,18.0,1082.4793626515636,1364.3433887858703,1478.963962430377,1712.2645417120953,2002.3558470705646,893.4364380230265,1089.2811619307456,1246.5712050903185,1407.9836261513422,1687.439659111859
33,18.5,1091.571415917429,1392.9299775287252,1494.2852346378725,1731.780257932916,2017.9628744206184,892.4880312704737,1091.9722839890612,1255.1706895615325,1421.4634389217472,1717.5452439645082
34,19.0,1100.6634691832944,1421.51656627158,1509.606506845368,1751.2959741537366,2033.569901770673,891.5396245179215,1094.6634060473775,1263.7701740327473,1434.9432516921534,1747.6508288171583
