,Age,Male 0.05,Male 0.25,Male 0.50,Male 0.75,Male 0.95,Female 0.05,Female 0.25,Female 0.50,Female 0.75,Female 0.95
0,2.0,105.7978772754965,127.7632517633784,139.31228357132554,151.30248949145712,170.3146170517289,110.24155536054639,126.54466421525595,139.610329405455,147.99593994800884,169.34873647283536
1,2.5,106.17275281856826,126.54175817337605,138.17305063066578,150.13133971079714,169.16533245131873,110.20501057461541,126.71674048493077,139.78388571854094,148.3263336290588,169.0549280535346
2,3.0,106.54762836163997,125.3202645833737,137.03381769000598,148.96018993013718,168.01604785090845,110.16846578868439,126.88881675460556,139.9574420316269,148.65672731010875,168.7611196342338
3,3.5,106.91882024794631,124.10622465819903,135.90282923309616,147.79683932501095,166.87414492933775,110.13192100275339,127.06089302428036,140.13099834471285,148.98712099115866,168.4673112149331
4,4.0,107.26791019366041,122.93690672199027,134.821307678686,146.68028377308704,165.77653208080412,110.09537621682237,127.23296929395514,140.30455465779877,149.3175146722086,168.1735027956323
5,4.5,107.57279625819001,121.85703276371333,133.8387199292752,145.65731832756785,164.76749937834478,110.05870566435195,127.40493610534686,140.47798446184748,149.64779500571362,167.8797499691942
6,5.0,107.81137650094287,120.91132477233418,133.00453288736347,144.77473804165578,163.89133689499678,110.01689440458318,127.5724288094182,140.64624320899912,149.97344225832003,167.58826950101658
7,5.5,107.96154898132674,120.14450473681875,132.36821345545047,144.0793379685531,163.19233470379734,109.95857628651699,127.7255551138368,140.7978976450134,150.28421264565569,167.3040855960607
8,6.0,108.00121175874938,119.60129464613293,131.97922853603595,143.6179131614622,162.71478287778356,109.87196069708375,127.85405330456507,140.92108754764928,150.56947983538436,167.03241008519927
9,6.5,107.90826289261855,119.32641648924266,131.88704503161944,143.4372586735855,162.50297148999252,109.74525702321391,127.94766166756533,141.0039526946658,150.8186174951697,166.77845479930494
10,7.0,107.66060044234197,119.36459225511389,132.14112984470083,143.58416955812527,162.60119061346137,109.56667465183787,127.99611848879997,141.03463286382197,151.0209992926755,166.5474315692504
11,7.5,107.23612246732746,119.76054393271252,132.7909498777797,144.10544086828398,163.05373032122728,109.32442296988603,127.98916205423131,141.00126783287683,151.1659988955656,166.3445522259084
12,8.0,106.6127270269827,120.55899351100445,133.88597203335567,145.04786765726385,163.90488068632732,109.00671136428876,127.91653064982177,140.89199737958938,151.24298997150362,166.17502860015148
13,8.5,105.77735000689869,121.76174921305014,135.4289946840022,146.41369326238492,165.1541023862454,108.60174922197652,127.76796256153361,140.69496128171858,151.24134618815333,166.0440725228524
14,9.0,104.7530785973993,123.1989641982879,137.23614208258724,148.02695415743747,166.62153851625234,108.09774592987966,127.5331960753293,140.39829931702351,151.1504412131785,165.95689582488387
15,9.5,103.57203781499156,124.6578778602505,139.0768699520524,149.66713510032938,168.0825027760657,107.48291087492868,127.2019694771711,139.9901512632632,150.9596487142429,165.91871033711857
16,10.0,102.26635267618258,125.92572959247083,140.72063401533944,151.1137208489686,169.3123088654031,106.74545344405385,126.76402105302135,139.45865689819655,150.65834235901013,165.93472789042903
17,10.5,100.86814819747937,126.78975878848163,141.9368899953899,152.14619616126294,170.08627048398205,105.87358302418572,126.20908908884253,138.7919559995827,150.2358958151442,166.0101603156882
18,11.0,99.40954939538906,127.0372048418158,142.4950936151455,152.54404579512038,170.17970133152022,104.85550900225462,125.52691187059689,137.97818834518057,149.68168275030857,166.15021944376852
19,11.5,97.9226812864187,126.45530714600606,142.16470059754784,152.08675450844876,169.36791510773514,103.67944076519092,124.70722768424677,137.0054937127492,148.98507683216712,166.36011710554277
20,12.0,96.43966888707531,124.83130509458528,140.7151666655386,150.55380705915601,167.42622551234436,102.3335876999251,123.73977481575461,135.86201188004765,148.13545172838363,166.64506513188363
21,12.5,94.98512421654779,122.05664233834622,138.0197005673978,147.82882441082748,164.24925501175034,100.82258586766046,122.62434379128364,134.55332359378488,147.1398590240343,167.00028850660897
22,13.0,93.55360730475182,118.43957955712146,134.3665231527588,144.21197234975835,160.20886113909472,99.216778026692,121.40093409780063,133.15477347646984,146.07606197384547,167.3810648253172
23,13.5,92.13216518428506,114.39258168800365,130.14760829659338,140.10755286792127,155.7962101942042,97.60293360958762,120.11959746247328,131.7591471195616,145.0395017499561,167.73268483655204
24,14.0,90.70784488774491,110.32811366808522,125.75492987387327,135.9198679572889,151.5024684769051,96.0678220489153,118.83038561246937,130.45923011451907,144.12561952450494,168.0004392888572
25,14.5,89.26769344772902,106.65864043445886,121.5804617595702,132.05321960983386,147.8188022870242,94.69821277724293,117.58335027495659,129.3478080528013,143.42985646963095,168.12961893077627
26,15.0,87.79875789683486,103.79662692421708,118.01617782865596,128.91190981752882,145.23637792438788,93.58087522713842,116.4285431771026,128.5176665258672,143.04765375747297,168.06551451085298
27,15.5,86.29198314048875,102.03496372408381,115.34696639117526,126.78578855088753,144.09815030022372,92.7739905443194,115.40174575959608,128.03054077133922,143.0415039683611,167.7728680409278
28,16.0,84.7539055754321,101.1882440193084,113.42937349746501,125.50689769458822,144.15422877136294,92.22138672710224,114.48165831720945,127.8239646114932,143.34210531539043,167.29422658602857
29,16.5,83.19495947123508,100.95148664477158,112.012859632935,124.79282711185023,145.00651130603777,91.83830348695295,113.63271085823608,127.80442151476853,143.84720741984717,166.69158847447994
30,17.0,81.62557909746789,101.01971043535404,110.84688528299515,124.36116666589291,146.25689587248038,91.53998053533763,112.81933339096935,127.87839494960456,144.45455990301764,166.02695203460667
31,17.5,80.05445967877233,101.13876442012305,109.7226675188203,123.97657457606569,147.57363077755096,91.25578429847798,112.01188425565373,127.96795447303404,145.07895411597374,165.3519825400126
32,18.0,78.48334026007677,101.25781840489205,108.59844975464547,123.59198248623848,148.89036568262156,90.97158806161832,111.20443512033808,128.0575139964635,145.70334832892985,164.67701304541856
33,18.5,76.91222084138121,101.37687238966107,107.47423199047063,123.20739039641124,150.20710058769214,90.68739182475862,110.39698598502244,128.14707351989293,146.32774254188587,164.00204355082442
34,19.0,75.34110142268565,101.49592637443006,106.3500142262958,122.82279830658403,151.52383549276271,90.40319558789898,109.5895368497068,128.23663304332243,146.95213675484203,163.32707405623046
