study,rep,warmup,total_ms,setup_ms,inference_ms,postprocess_ms,write_ms,ok
airway_input,1,true,180478.7,13107.9,138939.0,22617.0,1154.0,true
airway_input,2,false,178137.3,12855.9,137952.0,23343.0,1128.0,true
airway_input,3,false,165215.9,12805.0,139144.0,9335.0,1145.0,true
airway_input,4,false,165886.8,12602.6,137611.0,11502.0,1267.0,true
