,Age,Male 0.05,Male 0.25,Male 0.50,Male 0.75,Male 0.95,Female 0.05,Female 0.25,Female 0.50,Female 0.75,Female 0.95
0,2.0,37.446465713565864,45.14247499825288,54.60234256495102,66.56179758390321,86.4857045595883,34.32570250908793,50.775684887162534,59.0568111316117,64.23090468028634,75.86239047129594
1,2.5,37.20979151962006,48.27079013637609,59.3824123545094,72.97029688231531,95.89054006231477,35.73628846164803,52.88768350118045,61.93957216235206,68.90939420460421,84.55607939147268
2,3.0,36.97311732567425,51.39910527449929,64.16248214406777,79.3787961807274,105.29537556504123,37.14687441420811,54.999682115198446,64.82233319309232,73.5878837289221,93.24976831164948
3,3.5,36.75110594654424,54.529498893112105,68.93892772347415,85.7830285441274,114.68504415292153,38.557460366768204,57.111680729216395,67.70509422383265,78.26637325323993,101.94345723182612
4,4.0,36.617071456308985,57.67236339466245,73.69362804196855,92.16165929745485,123.98371125172477,39.968046319328295,59.223679343234345,70.58785525457293,82.94486277755782,110.63714615200288
5,4.5,36.65899074386324,60.84016966208792,78.40483783863898,98.48908683063718,133.10037537237383,41.37871404932986,61.335777794035295,73.47076680099711,87.62350616701258,119.33093318140186
6,5.0,36.9648406981018,64.04538857832608,83.0508118525735,104.73970953360181,141.94403502579172,42.806882151806114,63.46924131639504,76.38588870377228,92.335076695763,128.0457155843659
7,5.5,37.62259820791938,67.30049102631448,87.60980482286007,110.88792579627616,150.42368872290132,44.30864995160592,65.69255794344137,79.43647472204228,97.18512584771948,136.84879628736982
8,6.0,38.72024016221077,70.61794788899068,92.06007148858679,116.90813400858774,158.4483349746256,45.94535052983222,68.08060526241309,82.7354116187195,102.28905247555376,145.81375720711358
9,6.5,40.34574344987072,74.01023004929223,96.37986658884161,122.7747325604639,165.9269722918874,47.778316967587955,70.70826086054896,86.39558615671629,107.76225543193746,155.0141802602971
10,7.0,42.587084959794005,77.4898083901567,100.54744486271258,128.4621198418322,172.76859918560982,49.868882345976075,73.65040232508788,90.52988509894499,113.72013356954237,164.5236473636202
11,7.5,45.53224158087538,81.06915379452164,104.54106104928775,133.94469424261996,178.88221416671564,52.27837974609952,76.98190724326861,95.25119520831798,120.27808574104014,174.41574043378293
12,8.0,49.269190202009575,84.76073714532463,108.3389698876551,139.19685415275464,184.17681574612783,55.06814224906124,80.77765320232992,100.6724032477476,127.55151079910257,184.76404138748507
13,8.5,53.840056574305805,88.59833574956157,111.98051379436488,144.2601303961384,188.70272836052013,58.299502935964206,85.11251778951069,106.90639598014631,135.65580759640127,195.64213214142666
14,9.0,59.10356189773091,92.7009526104618,115.74938589581625,149.44458353257207,193.07558014956922,62.033794887911355,90.06137859204978,114.0660601684264,144.70637498560805,207.12359461230758
15,9.5,64.87257623446615,97.20889715531301,119.99036699587046,155.1274065558312,198.0523251787025,66.33235118600564,95.69911319718585,122.26428257550019,154.81861181939453,219.28201071682773
16,10.0,70.95996964669284,102.26247881140293,125.04823789838893,161.68579245969127,204.38991751334763,71.25650491134999,102.10059919215782,131.61394996428012,166.10791695043255,232.19096237168705
17,10.5,77.17861219659218,108.0020070060192,131.26777940723295,169.49693423792792,212.84531121893193,76.80464885599471,109.2675781641138,142.0975141517623,178.55558217861469,245.80010385184784
18,11.0,83.34137394634553,114.56779116644955,138.99377232626392,178.93802488431658,224.175460360883,82.72341465577945,116.90924769983938,153.1756871712779,191.60647109271778,259.56337886532225
19,11.5,89.26112495813406,122.1001407199817,148.5709974593431,190.38625739263287,239.13731900462827,88.69649365749112,124.66166938602944,164.17874611024178,204.57134022873961,272.8108034783847
20,12.0,94.75073529413912,130.73936509390327,160.34423561033185,204.21882475665225,258.4878412155951,94.40757720791675,132.16090480937893,174.43696805606902,216.76094612267795,284.87239375730985
21,12.5,99.65530801848915,140.50635414717934,174.4119582892699,220.54157842530844,282.5368530683563,99.54035665384323,139.0430155565827,183.2806300961745,227.4860453105306,295.07816576837195
22,13.0,103.94887820310137,150.9443194654841,189.88739983091037,238.37500366816715,309.8056686740646,103.77852334205758,144.94406321433567,190.04000931797302,236.0573943282953,302.7581355778457
23,13.5,107.6377139218403,161.47705306616916,205.63748527618486,256.46824420995256,338.3684741530182,106.80576861934678,149.50010936933273,194.0453828088796,241.78574971196988,307.2423192520056
24,14.0,110.7280832485703,171.5283469665859,220.5291396660247,273.5704437753884,366.29945562551507,108.30578383249775,152.3472156082688,194.62702765630925,243.98186799755206,307.86073285712615
25,14.5,113.22625425715586,180.52199318408603,233.42928804136164,288.4307460891987,391.6727992118533,108.16575150121315,153.32124886911572,191.8070938839188,242.63435762086843,305.11742564731844
26,15.0,115.1384950214614,187.88178373602096,243.204855443127,299.7982948761075,412.5626910323309,107.0868188368583,153.05729749495285,188.37522326033317,240.4432346170606,304.2125796280406
27,15.5,116.49418152680795,193.21963128885932,249.08901506929047,306.82836031514205,427.6313389224281,105.8242787408669,152.26790168693773,187.11311229570506,240.11779496077702,310.11584594437875
28,16.0,117.41512140434284,196.8999311055374,251.77993274597395,310.3007184025434,437.89303757835324,104.53604218328358,151.1761876734325,188.0031847213308,241.69304678537802,322.17861954858523
29,16.5,118.04623019666992,199.47519909810867,252.34202245633742,311.4012715888559,444.95010341149725,103.23067465130565,149.88292818960062,190.3280460737923,244.53542626390217,338.3477313447039
30,17.0,118.53242344639312,201.49795117862658,251.8396981835409,311.31592232462395,450.4048528332505,101.9167416321304,148.48889597060537,193.3703018896718,248.0113695693879,356.5700122367787
31,17.5,118.99446410568234,203.42861727380225,251.1599715802177,311.03292265196797,455.59254951977204,100.6013810317556,147.07806829574955,196.53212344945425,251.59290684603388,375.1344879781796
32,18.0,119.45650476497154,205.35928336897788,250.4802449768945,310.749922979312,460.7802462062935,99.28602043138079,145.66724062089375,199.6939450092367,255.1744441226799,393.69896371958043
33,18.5,119.91854542426077,207.28994946415352,249.80051837357126,310.466923306656,465.9679428928151,97.97065983100599,144.25641294603793,202.85576656901912,258.7559813993259,412.2634394609813
34,19.0,120.38058608354997,209.22061555932922,249.12079177024813,310.183923634,471.1556395793365,96.65529923063119,142.84558527118213,206.0175881288016,262.33751867597186,430.82791520238214
