
 ** NVTX Range Kernel Summary (nvtx_kern_sum):

+-------------------------------+---------+---------+---------+-----------+-----------+-----------------+-------------+-------------+----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
|          NVTX Range           |  Style  |   PID   |   TID   | NVTX Inst | Kern Inst | Total Time (ns) |  Avg (ns)   |  Med (ns)   | Min (ns) | Max (ns)  | StdDev (ns) |                                             Kernel Name                                              |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     1,080 |      38,722,703 |    35,854.4 |    35,839.0 |   30,943 |    46,271 |     1,005.9 | sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_war… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     2,160 |      32,001,236 |    14,815.4 |    15,567.5 |    5,471 |    30,976 |     9,177.6 | void xmma__5x_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_3<xmma__5x_cudnn::im… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |       945 |      30,268,237 |    32,029.9 |    32,031.0 |   30,559 |    35,136 |       517.8 | void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::flip_kernel_impl<at::n… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |       949 |      29,216,015 |    30,786.1 |    29,696.0 |   28,543 |   279,066 |    16,109.6 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     1,080 |      20,104,825 |    18,615.6 |    18,624.0 |   17,760 |    23,647 |       518.4 | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     1,080 |      20,089,696 |    18,601.6 |    18,560.0 |   18,367 |    24,032 |       468.6 | sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_warpsize2x2x1… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |       945 |      16,199,402 |    17,142.2 |    17,536.0 |   15,455 |    25,856 |     1,584.7 | void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::flip_kernel_impl<at::n… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     1,080 |      13,612,535 |    12,604.2 |    12,576.0 |   12,384 |    16,480 |       332.7 | sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x128x32_stage5_warp… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     1,360 |      11,876,912 |     8,733.0 |     9,568.0 |    1,792 |    25,632 |     2,995.5 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::Ten… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |       270 |       8,922,748 |    33,047.2 |    33,327.5 |   23,487 |    43,583 |     8,974.9 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
